Clave_mun,longitud,latitud,altitud,totreg,ingtoper,Censo_y_edu,Censo_y_salud,Censo_y_ss,Censo_y_cv,Censo_y_sbv,Censo_y_ali,Censo_y_ing,Censo_y_esco,Enigh_y_edu,Enigh_y_salud,Enigh_y_ss,Enigh_y_cv,Enigh_y_sbv,Enigh_y_ali2,Enigh_y_ing,Nb_mun,Population,Gini_coef
96,965107,194403,1980,1420,395287,0.3951,0.9718,0.9746,0.243,0.2183,0.0514,0.2784,3.6739,0.3874234,0.7562679,0.9451774,0.0801342,0.3401848,0.1920358,0.87469,Landero y Coss,1535,0.3691647
97,953113,183741,10,20133,24700000,0.24,0.4187,0.4185,0.1394,0.2211,0.038,1.2268,5.2967,0.2517601,0.248231,0.4993859,0.0820949,0.0880833,0.2710985,2.72349,Lerdo de Tejada,22218,0.4013227
98,970251,184530,1500,2272,576085,0.3473,0.9318,0.9309,0.9089,0.6149,0.4234,0.2536,2.857,0.326054,0.8119974,0.9608211,0.3261509,0.6918414,0.2835394,0.81349,Magdalena,2819,0.4490836
99,971638,184841,1720,14702,6049761,0.3106,0.8958,0.8894,0.6591,0.7354,0.2883,0.4115,3.3763,0.3079708,0.4751882,0.8411313,0.2775573,0.4530463,0.2191908,1.32292,Maltrata,16701,0.4365423
100,961955,190532,40,20524,9876071,0.3652,0.6414,0.6307,0.3583,0.7519,0.0845,0.4812,4.0842,0.3463452,0.4867698,0.7407114,0.2051415,0.4036132,0.2012884,1.56529,Manlio Fabio Altamirano,25088,0.3722222
101,970748,185451,1500,28592,16400000,0.2705,0.699,0.6855,0.4441,0.5218,0.2238,0.5736,4.0029,0.3357973,0.4058115,0.7778016,0.3081438,0.5001963,0.3579325,1.64464,Mariano Escobedo,35436,0.4834682
102,970315,200338,80,118681,101000000,0.25,0.6764,0.6637,0.3148,0.5442,0.0705,0.851,5.2116,0.2456015,0.3825011,0.6769005,0.2215543,0.3371495,0.2230468,2.15739,Martínez de la Torre,82353,0.4338169
103,974053,201241,740,10329,2879014,0.4105,0.981,0.9845,0.9099,0.9609,0.552,0.2787,2.4447,0.4058681,0.400079,0.9478137,0.5081069,0.9789557,0.4587715,0.71664,Mecatlán,11723,0.4430704
104,945025,181305,360,15194,4591481,0.3653,0.8346,0.8495,0.864,0.8607,0.6293,0.3022,2.5298,0.4418297,0.2832146,0.9279279,0.5034326,0.9050256,0.5138704,0.78266,Mecayapan,17637,0.4575025
105,960917,190332,10,35114,27100000,0.2734,0.5573,0.5882,0.2571,0.6081,0.0576,0.7718,4.6401,0.2516114,0.2896226,0.5589642,0.1885613,0.3568148,0.2965407,2.70624,Medellín,61483,0.4157953
